Date,Day,TCases,TDeaths,GCases,GDeaths,LibCases,LibDeaths,SLCases,SLDeaths,NigCases,NigDeaths,SenCases,SenDeaths,USCases,USDeaths,SpCases,SpDeaths,
10/17/14,315,9693,4811,1501,886,4607,2689,3560,1227,20,8,1,0,3,1,1,0,
10/14/14,312,9178,4546,1519,862,4249,2484,3410,1200,20,8,1,0,3,1,1,0,
10/12/14,310,8997,4485,1472,843,4249,2458,3252,1183,20,8,1,0,2,1,1,0,
10/07/14,305,8386,3988,1350,778,4076,2316,2937,885,20,8,1,0,1,1,1,0,
10/05/14,303,8033,3865,1298,768,3924,2210,2789,879,20,8,1,0,1,0,,,
10/01/14,299,7492,3439,1199,739,3834,2069,2437,623,20,8,1,0,1,0,,,
09/28/14,296,7192,3286,1157,710,3696,1998,2317,570,20,8,1,0,1,0,,,
09/25/14,293,6808,3159,1103,668,3564,1922,2120,561,20,8,1,0,,,,,
09/23/14,291,6574,3043,1074,648,3458,1830,2021,557,20,8,1,0,,,,,
09/21/14,289,6263,2900,1022,635,3280,1707,1940,550,20,8,1,0,,,,,
09/17/14,285,5762,2746,965,623,3022,1578,1753,537,21,8,1,0,,,,,
09/14/14,282,5339,2586,942,601,2720,1461,1655,516,21,8,1,0,,,,,
09/10/14,278,4846,2375,899,568,2415,1307,1509,493,22,8,3,0,,,,,
09/07/14,275,4366,2177,861,557,2081,1137,1424,476,22,7,3,0,,,,,
09/03/14,271,4001,2089,823,522,1863,1078,1292,452,22,7,1,0,,,,,
08/31/14,268,3707,1808,771,494,1698,871,1216,436,21,7,1,0,,,,,
08/25/14,262,3071,1553,648,430,1378,694,1026,422,19,7,,,,,,,
08/20/14,257,2615,1427,607,406,1082,624,910,392,16,5,,,,,,,
08/18/14,255,2473,1350,579,396,972,576,907,374,15,4,,,,,,,
08/16/14,253,2240,1229,543,394,834,466,848,365,15,4,,,,,,,
08/13/14,250,2127,1145,519,380,786,413,810,348,12,4,,,,,,,
08/11/14,248,1975,1069,510,377,670,355,783,334,12,3,,,,,,,
08/09/14,246,1848,1013,506,373,599,323,730,315,13,2,,,,,,,
08/06/14,243,1779,961,495,367,554,294,717,298,13,2,,,,,,,
08/04/14,241,1711,932,495,363,516,282,691,286,9,1,,,,,,,
08/01/14,238,1603,887,485,358,468,255,646,273,4,1,,,,,,,
07/30/14,236,1440,826,472,346,391,227,574,252,3,1,,,,,,,
07/27/14,233,1323,729,460,339,329,156,533,233,1,1,,,,,,,
07/23/14,229,1201,672,427,319,249,129,525,224,,,,,,,,,
07/20/14,226,1093,660,415,314,224,127,454,219,,,,,,,,,
07/17/14,223,1048,632,410,310,196,116,442,206,,,,,,,,,
07/14/14,220,982,613,411,310,174,106,397,197,,,,,,,,,
07/12/14,218,964,603,406,304,172,105,386,194,,,,,,,,,
07/08/14,214,888,539,409,309,142,88,337,142,,,,,,,,,
07/06/14,212,844,518,408,307,131,84,305,127,,,,,,,,,
07/02/14,208,779,481,412,305,115,75,252,101,,,,,,,,,
06/30/14,206,759,467,413,303,107,65,239,99,,,,,,,,,
06/22/14,198,599,338,,,51,34,,,,,,,,,,,
06/20/14,196,581,328,390,270,,,158,34,,,,,,,,,
06/17/14,193,528,337,,,,,97,49,,,,,,,,,
06/16/14,192,526,334,398,264,33,24,,,,,,,,,,,
06/15/14,191,522,333,394,263,33,24,95,46,,,,,,,,,
06/10/14,186,474,252,372,236,,,,,,,,,,,,,
06/06/14,182,453,245,,,,,89,7,,,,,,,,,
06/05/14,181,445,244,351,226,,,81,6,,,,,,,,,
06/03/14,179,436,233,344,215,,,,,,,,,,,,,
06/01/14,177,383,211,328,208,,,79,6,,,,,,,,,
05/29/14,174,354,211,,,,,50,6,,,,,,,,,
05/28/14,173,319,209,291,193,,,,,,,,,,,,,
05/27/14,172,309,202,281,186,,,16,5,,,,,,,,,
05/23/14,168,270,185,258,174,,,,,,,,,,,,,
05/18/14,163,265,187,253,176,,,,,,,,,,,,,
05/12/14,157,260,182,248,171,,,,,,,,,,,,,
05/10/14,155,245,168,233,157,12,11,,,,,,,,,,,
05/07/14,152,249,169,236,158,,,,,,,,,,,,,
05/03/14,148,244,166,231,155,,,0,0,,,,,,,,,
05/02/14,147,239,160,,,13,11,,,,,,,,,,,
05/01/14,146,237,158,226,149,,,,,,,,,,,,,
04/30/14,145,233,155,221,146,,,,,,,,,,,,,
