Year,Name,KB
1994,usc01,132
1995,usc01,134
1996,usc01,138
1997,usc01,139
1998,usc01,140
1999,usc01,141
2000,usc01,143
2001,usc01,144
2002,usc01,147
2003,usc01,147
2004,usc01,147
2005,usc01,148
2006,usc01,148
2007,usc01,149
2008,usc01,150
2009,usc01,152
2010,usc01,152
2010,usc01,152
2011,usc01,153
2011,usc01,153
2012,usc01,154
1994,usc02,3648
1995,usc02,4043
1996,usc02,4015
1997,usc02,4057
1998,usc02,4134
1999,usc02,4176
2000,usc02,4286
2001,usc02,4354
2002,usc02,5166
2003,usc02,5324
2004,usc02,5287
2005,usc02,5329
2006,usc02,5041
2007,usc02,5228
2008,usc02,5275
2009,usc02,5228
2010,usc02,5354
2010,usc02,5354
2011,usc02,5408
2011,usc02,5408
2012,usc02,5437
1994,usc03,422
1995,usc03,424
1996,usc03,526
1997,usc03,530
1998,usc03,533
1999,usc03,536
2000,usc03,546
2001,usc03,554
2002,usc03,567
2003,usc03,582
2004,usc03,593
2005,usc03,579
2006,usc03,528
2007,usc03,530
2008,usc03,530
2009,usc03,559
2010,usc03,571
2010,usc03,571
2011,usc03,566
2011,usc03,566
2012,usc03,569
1994,usc04,87
1995,usc04,93
1996,usc04,93
1997,usc04,93
1998,usc04,130
1999,usc04,131
2000,usc04,175
2001,usc04,175
2002,usc04,187
2003,usc04,187
2004,usc04,180
2005,usc04,180
2006,usc04,186
2007,usc04,189
2008,usc04,190
2009,usc04,191
2010,usc04,191
2010,usc04,191
2011,usc04,191
2011,usc04,191
2012,usc04,191
1994,usc05,7751
1995,usc05,7764
1996,usc05,8070
1997,usc05,8140
1998,usc05,8458
1999,usc05,8511
2000,usc05,8648
2001,usc05,8729
2002,usc05,8972
2003,usc05,9130
2004,usc05,9152
2005,usc05,9096
2006,usc05,9078
2007,usc05,9145
2008,usc05,9240
2009,usc05,9446
2010,usc05,9626
2010,usc05,9626
2011,usc05,9686
2011,usc05,9686
2012,usc05,9753
1994,usc05a,1851
1995,usc05a,1855
1996,usc05a,1869
1997,usc05a,1884
1998,usc05a,1893
1999,usc05a,1905
2000,usc05a,1913
2001,usc05a,1913
2002,usc05a,1939
2003,usc05a,1960
2004,usc05a,1962
2005,usc05a,1965
