x,y
93,15
84,16
77,16
71,14
69,18
69,23
70,28
70,35
71,38
78,37
84,38
88,38
85,27
79,25
72,27
102,40
105,35
108,28
112,23
114,18
117,15
124,16
127,24
131,31
133,35
136,38
120,33
114,34
110,33
126,32
140,16
147,15
153,17
158,16
163,15
166,15
153,23
154,28
153,33
154,38
202,37
202,35
202,32
201,26
202,20
203,16
210,16
215,22
216,26
219,29
223,34
225,37
229,28
235,20
241,16
246,16
246,22
247,27
246,32
246,39
262,16
268,22
270,27
274,31
274,36
280,25
283,20
287,16
86,343
84,343
78,342
70,341
63,344
64,349
71,350
78,354
82,356
81,362
77,365
74,365
69,364
64,360
99,342
99,349
100,357
100,362
105,352
112,352
114,352
122,353
128,353
129,349
128,342
129,357
128,363
146,354
145,350
148,346
152,341
158,339
162,339
169,341
174,345
178,350
177,357
170,362
162,363
156,363
151,360
150,358
196,340
194,347
195,352
195,359
195,363
199,339
204,339
207,341
213,342
218,343
219,348
214,355
206,357
200,357
210,358
217,361
222,365
233,342
243,343
247,342
255,339
245,345
245,349
245,354
244,358
244,361
239,340
286,346
284,342
276,341
271,344
271,350
277,353
280,353
284,355
288,358
284,362
279,367
271,365
267,363
275,43
158,169
165,169
167,172
173,177
180,180
182,184
186,189
193,186
188,185
186,180
180,176
178,171
177,166
182,158
185,160
189,165
196,171
201,175
204,178
210,178
217,183
226,186
235,185
236,181
237,178
241,171
231,168
240,168
245,165
245,159
238,157
231,151
228,155
224,153
220,153
213,147
206,145
202,140
202,134
204,128
209,121
214,118
219,118
227,119
231,124
237,132
237,136
233,145
242,128
247,126
252,128
254,131
255,142
254,147
252,152
258,136
247,143
216,132
258,127
262,122
264,114
268,108
269,103
273,97
276,89
266,90
270,80
263,86
262,75
254,82
255,77
266,83
253,72
244,75
242,65
233,73
229,63
223,68
219,60
216,66
208,57
207,66
201,58
199,64
198,71
197,78
194,84
191,93
189,100
187,107
185,115
182,123
178,128
177,135
175,139
178,146
170,139
166,143
165,151
168,157
165,162
157,168
171,149
169,150
177,156
171,162
154,166
147,172
145,175
139,180
147,182
141,181
136,176
130,178
125,182
114,184
106,185
103,190
97,195
105,195
113,194
120,196
126,202
133,207
142,211
149,216
152,213
151,205
154,200
159,202
164,206
169,210
176,219
178,225
171,213
183,220
188,213
189,206
189,204
186,200
184,198
182,193
174,191
173,191
169,191
160,194
149,223
149,226
151,232
150,236
149,241
151,249
152,257
153,264
158,268
156,273
165,275
168,274
172,271
173,276
178,272
183,264
179,256
172,250
168,244
168,236
171,225
171,231
177,229
174,233
172,237
166,269
148,270
146,269
145,263
140,259
138,256
135,252
137,248
133,247
125,250
123,248
118,245
115,242
111,237
109,228
111,217
115,211
117,208
114,207
96,200
92,209
91,213
91,221
94,230
101,236
104,244
106,252
109,258
111,267
116,272
122,272
123,271
128,270
129,265
129,257
184,172
186,171
190,177
195,174
108,262
100,264
101,271
106,275
109,277
99,274
98,276
103,284
105,286
106,286
98,282
96,288
99,292
101,294
105,295
106,297
111,297
124,299
128,298
132,293
117,299
97,299
92,302
98,306
103,308
108,309
114,310
120,311
129,307
134,301
125,310
131,310
124,315
114,314
112,313
103,311
99,310
95,309
118,288
129,289
134,288
142,287
144,287
128,289
131,280
137,280
144,277
151,277
133,271
138,275
146,275
134,267
140,266
168,281
164,285
157,289
173,291
169,290
161,297
171,297
161,304
153,305
148,306
143,306
143,306
152,299
147,298
146,297
178,302
187,307
189,312
184,316
176,320
164,328
162,327
157,324
149,324
142,324
133,322
169,323
181,312
173,315
165,315
154,316
148,316
142,316
196,184
199,182
