x,y
295,698
260,683
228,668
196,654
164,636
137,617
113,602
90,585
71,565
54,545
39,523
29,501
12,464
4,427
2,386
4,346
19,300
31,258
51,240
73,206
100,179
135,157
169,137
204,122
245,100
290,81
331,63
376,49
420,27
403,63
393,103
390,145
405,174
420,204
440,226
472,243
501,255
536,260
580,258
614,240
629,206
636,154
644,100
654,56
654,4
686,24
703,68
708,90
732,90
767,88
786,88
801,63
811,36
836,7
840,44
845,78
850,115
853,142
860,179
868,218
887,243
929,255
966,258
998,260
1032,250
1069,226
1096,199
1109,172
1111,135
1111,103
1104,71
1086,51
1072,34
1104,39
1136,51
1170,61
1204,76
1239,90
1271,113
1300,125
1335,145
1372,169
1394,184
1413,206
1438,226
1458,260
1482,295
1492,327
1495,373
1490,415
1485,450
1472,481
1458,509
1440,533
1423,563
1404,582
1381,604
1354,622
1335,639
1308,656
1276,671
1241,683
1207,698
1192,698
1217,666
1234,631
1236,600
1236,572
1219,553
1200,538
1168,526
1136,526
1111,536
1084,545
1062,560
1037,577
1022,592
1015,602
1005,585
993,563
978,543
949,536
929,531
900,538
877,550
853,572
840,592
816,612
796,639
781,666
762,698
745,720
735,693
722,663
700,636
683,607
659,582
636,560
617,543
590,531
565,528
538,531
521,540
506,558
491,582
489,597
472,582
445,558
418,538
388,526
359,516
324,518
297,526
270,540
250,568
253,595
260,622
270,649
285,676
