x,y
144,585
152,581
160,580
173,573
181,568
186,565
195,563
204,560
216,555
224,555
234,552
237,550
244,545
254,542
263,542
272,540
283,537
301,531
314,529
324,529
334,526
342,521
354,519
367,518
375,518
386,518
404,511
409,508
426,496
436,490
445,486
454,485
462,480
465,473
465,459
455,444
450,437
449,427
440,421
432,413
418,404
409,400
403,395
391,381
390,377
380,373
367,362
357,354
352,349
336,336
336,336
336,327
324,321
316,318
303,308
298,303
298,303
313,301
308,293
291,280
281,267
278,263
278,262
285,262
273,254
257,237
252,229
252,229
268,237
270,237
259,219
249,211
240,204
219,191
224,188
237,191
242,193
244,186
232,177
221,168
216,163
214,157
229,157
218,145
214,137
203,124
196,118
191,108
191,106
201,114
206,109
196,101
191,93
185,83
181,77
193,83
203,93
208,90
195,72
188,59
188,55
196,67
201,80
209,96
214,103
219,106
222,109
227,113
242,126
244,126
254,134
263,145
263,145
275,147
285,159
290,163
295,167
300,173
308,180
314,185
324,193
327,195
337,198
342,203
350,209
350,213
360,224
365,234
373,239
378,240
381,244
388,250
395,254
400,254
416,265
418,265
439,280
439,280
447,288
465,300
465,300
483,313
488,319
501,326
501,326
516,336
529,344
529,344
544,355
555,363
557,367
572,378
575,385
581,380
590,375
598,367
600,357
600,350
600,350
609,339
609,337
609,322
613,318
614,309
621,311
622,314
634,295
632,286
640,268
644,273
649,281
655,277
662,263
665,257
675,245
675,245
681,245
681,229
691,216
700,198
706,186
708,196
708,201
713,198
716,186
721,180
726,167
731,159
736,152
739,150
750,152
750,145
755,129
760,121
768,109
768,101
773,104
775,108
786,98
788,91
798,77
801,68
801,62
801,62
806,68
809,72
811,73
818,73
826,75
829,63
831,54
836,65
839,70
840,77
844,86
844,88
849,100
852,116
849,121
847,126
849,139
849,147
849,152
847,178
847,180
844,200
840,208
832,224
832,229
831,250
827,254
819,263
814,278
809,286
804,303
800,308
781,336
790,324
793,321
781,344
777,354
767,365
763,365
755,378
750,381
736,393
724,396
713,404
696,421
698,424
709,426
718,432
722,439
722,454
724,455
716,473
716,473
716,488
719,491
724,500
726,506
726,506
719,496
713,493
708,488
701,485
693,485
686,485
677,488
670,488
654,493
654,495
644,503
626,511
613,516
598,521
595,522
583,531
581,532
581,532
563,545
559,550
550,559
542,559
534,559
521,563
521,563
509,577
509,563
508,562
504,562
506,549
500,552
485,559
485,559
473,563
463,572
457,578
454,581
449,590
440,596
436,600
429,601
426,606
426,608
413,616
409,619
396,634
391,636
378,644
378,644
365,657
365,657
359,660
347,665
344,667
334,672
319,681
318,681
304,693
296,698
281,708
281,719
275,732
267,737
262,744
257,744
275,736
281,727
298,708
309,696
316,673
322,665
326,660
340,640
345,636
345,634
339,631
339,616
342,604
342,596
344,591
339,578
327,573
327,573
319,575
314,577
308,565
303,573
301,575
300,568
298,568
278,572
278,572
255,572
260,563
260,560
252,565
242,567
236,562
204,562
