x,y
500,870
496,857
488,832
485,814
480,800
473,781
472,763
463,745
462,727
457,713
454,695
450,681
447,663
444,642
444,631
449,618
460,600
473,578
488,554
498,537
506,521
519,501
511,493
501,480
490,467
473,457
460,442
450,434
455,422
462,409
475,395
485,380
496,367
504,350
513,339
503,327
485,306
477,291
465,280
454,268
444,252
436,237
427,224
414,211
416,191
424,172
429,154
434,144
439,127
447,111
449,95
436,78
424,63
409,54
391,39
368,31
350,22
327,14
286,4
252,1
221,8
198,14
167,26
139,37
124,47
103,65
80,77
65,88
49,103
36,122
27,139
13,157
11,177
6,204
1,236
1,267
8,298
9,322
13,354
22,368
36,391
44,414
54,439
65,459
75,477
90,495
101,514
109,537
126,559
139,575
155,590
178,611
200,627
221,650
237,670
252,686
270,703
286,719
303,736
322,750
339,762
357,777
383,795
404,811
424,821
442,834
467,854
477,860
488,867
503,847
496,827
496,804
495,785
495,763
490,749
490,731
483,718
477,703
478,685
477,667
477,642
478,629
495,616
504,595
518,578
529,562
539,547
549,536
563,526
568,504
560,488
547,473
537,462
531,452
513,436
516,419
532,404
545,396
560,378
573,368
585,354
581,336
573,324
565,314
555,303
547,288
539,277
531,260
524,245
516,231
509,214
500,203
504,190
511,175
519,157
529,140
537,121
545,106
557,91
570,77
583,60
595,52
609,39
622,34
645,24
675,11
683,8
701,3
719,4
744,4
770,6
796,11
816,13
839,21
854,26
870,32
886,42
904,54
921,72
936,86
950,100
963,121
975,140
980,155
991,173
993,191
996,209
1000,234
1000,252
998,280
993,298
988,319
985,339
978,355
972,381
962,400
952,421
949,442
940,459
931,473
919,488
911,504
900,521
883,539
877,557
863,565
852,578
831,593
811,613
793,637
778,654
757,673
740,686
729,700
713,711
691,732
678,750
659,765
639,781
624,791
601,801
581,814
559,829
547,845
522,855
506,868
