x,y
137,367
129,376
126,383
124,396
120,388
119,398
120,406
123,413
114,398
118,409
119,416
116,422
120,427
123,433
116,434
122,441
126,443
131,447
120,443
120,445
127,453
131,453
136,455
118,458
125,468
128,469
134,472
135,474
157,479
145,478
139,480
146,485
154,489
133,489
141,496
146,499
159,505
174,505
183,496
179,505
192,501
200,486
196,480
201,485
198,479
193,471
192,465
198,469
205,469
213,474
206,466
194,464
208,463
215,463
220,464
228,469
211,462
203,461
203,456
210,456
222,462
234,472
238,478
233,471
226,461
225,453
235,466
240,468
247,477
252,488
259,490
253,479
246,469
245,462
255,478
259,479
264,491
262,497
268,482
264,470
258,459
270,477
270,485
273,495
268,505
260,521
271,506
282,490
280,503
270,514
267,518
254,532
247,542
260,529
269,520
271,528
259,542
250,546
242,548
260,548
263,546
267,546
254,554
236,559
234,561
245,565
253,578
249,576
239,565
234,561
232,566
237,571
247,582
255,590
246,586
231,575
227,569
239,587
245,592
224,579
216,572
223,584
225,593
225,599
219,589
211,576
206,572
206,591
194,616
202,597
204,589
201,577
198,583
189,600
187,610
190,593
191,588
181,598
177,611
177,592
175,585
175,591
170,602
163,614
168,597
171,580
167,575
164,580
163,596
161,598
151,585
152,573
152,580
155,594
147,589
143,575
143,570
141,584
143,595
140,571
137,562
130,546
131,557
127,573
127,586
128,564
124,547
118,538
117,548
112,563
106,570
109,555
109,544
109,539
101,562
96,568
93,571
96,556
97,544
101,531
96,540
85,560
88,547
93,536
93,520
92,518
82,536
77,541
85,526
90,516
91,505
89,501
86,508
78,519
76,521
66,532
76,516
80,504
80,494
80,488
74,504
61,516
60,519
69,506
74,491
74,489
70,500
65,511
55,522
60,500
65,484
65,479
56,493
53,497
50,501
45,506
65,488
68,475
64,470
59,464
48,485
46,486
39,491
36,490
42,481
58,471
60,464
47,481
53,473
56,469
60,454
50,463
43,468
37,471
26,476
27,466
31,466
37,455
49,445
50,440
54,431
57,419
57,413
49,423
49,421
51,412
56,403
59,393
61,386
69,380
69,379
52,388
51,388
54,385
65,374
75,360
84,350
92,343
93,335
92,318
91,308
91,295
91,281
91,273
96,260
100,244
111,235
97,248
90,256
84,268
112,229
120,218
124,212
125,210
103,226
105,223
117,214
125,206
131,201
139,195
144,184
142,186
131,193
131,193
136,182
148,175
143,175
130,174
140,169
149,167
155,162
157,160
139,167
137,167
152,157
167,151
175,145
147,147
152,139
172,142
178,138
180,133
161,136
193,137
185,129
163,129
186,127
169,118
189,119
189,119
178,125
216,115
220,111
206,111
200,114
194,110
209,112
220,111
236,105
252,100
266,100
278,100
276,89
276,80
285,68
294,65
301,62
311,60
315,49
320,43
327,38
334,28
341,22
354,17
356,15
361,14
366,14
371,14
381,13
383,14
394,21
404,25
412,23
422,18
430,16
431,19
431,23
431,29
431,31
431,34
439,35
444,36
454,36
462,36
469,36
472,36
458,49
458,49
450,55
451,56
455,61
455,63
456,66
459,69
458,79
457,83
456,91
455,93
457,95
461,95
451,95
451,95
450,103
450,106
450,113
451,115
452,127
452,128
444,135
441,136
436,148
437,145
441,149
443,151
444,156
447,160
451,165
456,170
459,178
465,185
466,193
469,200
469,205
466,197
462,187
459,180
453,169
449,161
441,145
434,137
434,141
435,147
440,154
443,163
444,168
446,175
446,179
446,183
446,188
446,188
445,179
439,161
428,145
426,140
428,151
431,162
431,171
430,183
430,188
430,179
428,159
426,149
425,141
417,149
416,154
422,165
419,161
414,156
416,166
416,167
413,162
409,160
408,162
415,166
420,171
422,171
422,171
416,172
411,171
415,176
417,182
421,197
422,206
419,204
419,186
413,191
414,196
417,208
414,216
410,201
409,205
411,213
411,224
405,217
399,211
395,206
400,219
403,233
398,230
398,224
397,231
390,242
387,238
387,237
390,246
387,245
384,242
384,242
385,254
392,257
383,254
380,253
383,259
391,266
393,269
386,269
380,266
382,272
387,277
392,279
384,280
383,280
390,290
393,291
382,294
388,295
393,305
396,311
391,320
399,331
406,343
415,349
417,352
418,360
414,363
407,368
393,371
392,369
381,370
379,370
368,371
363,370
356,358
356,355
356,355
363,363
356,353
354,344
348,336
347,335
339,332
341,316
336,319
337,308
339,304
331,297
329,300
331,308
332,315
326,306
326,308
328,319
327,322
317,303
318,312
319,322
320,323
315,313
313,332
312,332
307,342
310,340
315,340
318,341
323,356
313,366
311,366
309,366
295,373
293,369
292,368
289,367
285,368
280,366
275,366
269,365
260,365
258,365
246,368
243,368
234,368
230,367
223,365
218,365
207,369
203,369
181,369
181,369
181,369
168,368
158,360
157,360
148,366
144,368
