x,y
269,1309
295,1290
321,1268
336,1227
343,1198
355,1172
355,1161
373,1128
380,1094
388,1068
403,1028
414,987
425,965
417,946
406,924
406,895
399,858
392,839
388,817
380,769
366,747
366,706
355,698
329,695
303,669
292,658
277,643
262,636
251,628
232,617
181,580
210,595
199,580
188,551
177,528
166,502
170,473
173,440
173,410
177,399
192,355
192,343
177,310
147,295
103,262
118,284
77,247
44,240
22,240
3,221
7,188
14,147
36,136
62,125
81,99
107,81
133,59
159,44
192,36
207,33
240,14
266,7
314,7
336,7
384,11
399,14
410,22
454,59
465,70
473,81
491,103
484,140
443,162
421,144
399,114
380,96
347,99
314,99
318,122
332,136
336,159
336,181
336,214
336,244
325,277
321,318
318,358
321,392
325,421
329,462
351,484
388,495
406,469
436,417
462,384
477,340
491,303
514,288
543,258
573,251
599,244
625,218
647,192
680,159
710,133
747,129
787,118
839,114
883,103
920,103
980,99
1024,92
1061,85
1109,66
1153,81
1205,92
1246,92
1294,96
1327,107
1364,118
1390,136
1442,147
1483,151
1516,181
1564,218
1619,247
1653,269
1690,306
1741,340
1801,347
1834,384
1875,406
1904,410
1934,432
1963,447
2000,443
2026,447
2052,469
2074,477
2133,488
2159,510
2178,506
2226,525
2256,528
2226,543
2174,584
2148,576
2126,565
2074,573
2059,573
2019,558
1997,558
1956,562
1930,554
1900,558
1856,551
1834,547
1786,547
1745,528
1708,532
1679,532
1630,543
1597,551
1586,562
1568,584
1531,610
1505,632
1468,673
1438,691
1401,691
1349,695
1309,676
1272,662
1290,710
1309,747
1320,776
1327,809
1346,835
1353,858
1386,902
1409,924
1431,943
1464,957
1490,983
1497,1039
1508,1068
1534,1102
1538,1131
1523,1168
1520,1205
1486,1224
1457,1231
1423,1235
1409,1220
1372,1224
1346,1224
1342,1209
1372,1187
1386,1183
1409,1172
1420,1157
1420,1139
1412,1109
1401,1083
1390,1065
1375,1039
1353,1005
1327,972
1316,957
1279,931
1231,902
1216,895
1194,876
1176,850
1179,843
1227,765
1227,721
1231,662
1246,606
1231,606
1209,680
1216,739
1194,784
1172,828
1172,869
1168,906
1168,935
1176,987
1187,1020
1194,1046
1198,1076
1176,1131
1179,1164
1183,1190
1179,1227
1179,1257
1176,1287
1131,1298
1113,1301
1068,1301
1061,1301
1024,1309
1005,1298
954,1294
954,1294
946,1275
946,1272
972,1246
998,1227
1020,1209
1035,1190
1061,1172
1076,1150
1083,1116
1087,1079
1091,1046
1091,1028
1091,991
1068,976
1061,965
1054,946
1042,924
1057,902
1039,891
1017,854
987,821
961,791
954,754
954,691
954,654
954,628
957,595
939,654
939,698
957,739
954,787
935,806
920,806
883,806
846,809
806,821
765,821
765,821
728,828
706,809
684,795
643,761
643,761
628,732
676,772
691,813
706,835
728,858
758,891
758,913
769,939
772,987
769,1046
769,1087
765,1120
747,1153
743,1190
747,1242
732,1290
728,1320
710,1324
680,1320
617,1320
647,1312
662,1272
669,1253
665,1194
676,1142
676,1105
669,1065
669,1013
676,987
676,961
665,954
628,924
606,917
595,909
551,850
547,843
521,828
480,809
458,787
447,780
399,735
417,750
465,802
477,821
495,828
506,846
525,872
517,895
517,906
517,931
517,943
510,965
502,976
502,983
502,1020
502,1039
469,1076
473,1068
469,1094
447,1113
436,1128
425,1150
403,1172
388,1190
384,1198
380,1209
355,1246
355,1261
358,1298
358,1316
332,1327
325,1327
310,1327
173,110
144,133
173,144
188,140
188,125
181,103
