x,y
535,1265
530,1256
521,1245
516,1229
511,1214
506,1201
505,1189
495,1176
490,1162
487,1147
481,1128
476,1114
469,1096
466,1080
465,1061
457,1040
453,1021
452,998
442,976
441,954
439,931
441,907
436,882
428,856
428,837
423,823
418,803
399,781
390,765
380,751
367,736
351,730
340,716
330,709
316,698
297,680
314,682
326,693
335,698
346,708
358,716
372,728
385,736
401,746
407,760
417,780
425,791
429,802
437,824
442,810
445,786
447,772
450,752
450,732
458,712
463,695
466,674
469,660
477,642
484,618
487,602
492,581
500,559
516,551
525,553
516,572
511,591
501,615
498,634
492,648
487,666
481,685
479,706
473,724
469,740
465,767
461,784
460,805
458,834
460,853
460,866
461,882
461,898
461,915
466,933
469,951
473,971
474,989
476,1010
482,1034
490,1011
495,992
503,974
514,949
530,925
537,911
554,891
573,871
591,863
608,847
634,827
648,823
640,837
621,843
605,859
594,871
585,879
569,888
556,901
540,920
533,939
524,963
516,987
503,1000
500,1035
501,1051
495,1067
501,1086
505,1104
509,1123
519,1139
525,1160
537,1177
546,1195
556,1217
567,1235
575,1253
569,1267
553,1273
354,751
348,764
335,783
324,799
310,805
287,811
268,811
242,808
218,818
220,797
226,778
233,759
249,746
265,732
279,728
297,725
311,722
327,727
342,730
318,738
294,743
278,760
257,775
258,787
279,776
300,764
319,749
342,744
286,684
270,700
247,708
231,711
214,709
195,703
183,695
169,684
153,676
140,669
126,661
111,663
123,645
143,628
159,623
182,613
202,612
223,612
246,616
263,631
286,652
294,664
279,656
260,642
242,636
222,632
201,636
182,640
161,645
182,655
204,655
223,650
244,652
258,660
271,668
282,672
361,701
351,693
340,680
334,668
327,650
327,628
327,610
332,594
334,575
324,553
342,561
361,578
369,588
378,602
386,615
390,634
393,658
386,677
380,688
367,706
378,680
378,663
378,653
374,639
362,621
350,600
345,612
350,632
358,642
366,660
374,672
372,688
570,853
561,839
556,823
556,807
557,792
557,775
569,756
580,732
588,727
604,719
620,708
616,727
615,744
616,765
616,776
618,797
610,813
599,831
586,840
581,848
573,832
577,816
586,802
589,784
594,768
600,756
602,744
581,757
575,778
567,791
565,805
565,826
569,843
658,810
668,800
680,792
696,781
706,773
717,770
733,765
748,765
762,765
773,768
791,773
802,778
818,786
821,797
832,811
819,818
802,823
789,829
778,842
764,850
749,858
736,863
714,863
700,858
687,850
674,840
661,831
671,815
685,808
700,805
716,807
728,808
746,811
768,803
776,797
781,792
767,787
746,789
732,787
714,787
695,789
685,794
668,802
594,882
605,875
620,875
637,875
652,879
661,883
674,891
690,896
703,909
711,922
716,938
720,952
720,970
709,970
692,963
666,965
650,963
632,962
621,955
605,947
596,935
589,917
588,904
585,891
612,887
624,895
637,903
648,909
656,915
664,923
682,928
693,930
682,912
671,903
658,891
650,888
624,887
522,543
506,541
497,537
485,537
476,533
460,535
452,530
437,525
423,516
415,508
397,498
385,489
370,477
359,458
348,450
345,437
337,417
350,401
359,367
362,346
367,329
375,310
380,295
390,284
405,284
417,282
436,292
445,300
444,313
434,330
426,346
426,362
426,377
426,388
423,404
425,423
428,437
434,455
447,479
460,492
474,506
490,511
509,519
521,535
525,524
541,543
557,553
580,569
592,564
600,580
618,586
640,591
664,585
679,572
709,553
695,564
722,545
738,532
764,524
787,521
802,506
807,487
807,460
802,452
794,436
786,423
770,441
746,466
732,474
709,489
684,501
663,508
631,522
600,522
578,524
559,522
537,513
525,516
535,537
628,511
644,498
658,489
669,477
674,461
680,444
695,437
711,437
727,434
748,436
660,461
650,471
639,487
624,495
608,501
592,505
575,509
557,511
545,511
527,501
519,493
503,489
492,489
476,487
469,477
461,465
452,447
445,429
444,409
442,391
444,375
449,356
460,337
474,310
474,334
477,356
482,369
485,383
490,401
497,409
508,423
516,436
529,442
541,452
557,457
580,463
600,463
618,466
637,468
653,463
567,441
551,439
537,431
525,420
516,409
505,394
497,378
513,374
525,385
538,401
546,410
553,421
562,433
509,362
525,366
538,378
548,386
551,402
559,415
572,428
585,439
602,444
615,445
632,442
650,437
669,425
682,413
700,399
711,386
722,369
717,348
714,330
696,310
693,322
695,343
688,353
664,370
655,380
628,394
594,394
581,390
565,378
546,369
533,366
465,297
453,287
437,276
425,262
418,244
413,225
413,202
417,185
434,179
457,171
474,163
490,155
511,155
529,148
530,163
513,171
498,187
492,196
476,210
463,238
465,260
466,287
525,353
511,343
493,330
485,308
481,282
477,255
482,233
495,215
506,204
530,195
524,210
511,226
509,244
503,263
500,289
503,306
509,334
548,358
529,340
517,326
516,298
509,281
524,257
533,239
553,217
570,210
589,210
612,217
642,226
660,228
677,238
692,263
698,278
676,262
661,250
631,247
610,254
583,274
562,294
551,310
545,329
551,343
583,377
608,374
628,364
640,350
644,332
648,314
645,298
632,286
607,273
628,260
656,260
669,270
684,290
680,308
676,329
669,343
655,361
640,374
615,382
599,382
604,364
585,361
572,353
567,342
569,332
577,318
586,310
600,302
602,308
604,313
600,324
604,334
616,335
623,330
628,324
628,318
628,306
618,295
613,294
597,298
586,300
570,311
557,326
700,417
712,407
720,394
730,374
740,350
735,330
732,314
725,298
714,282
706,262
688,239
668,222
656,214
636,198
602,191
577,195
554,199
559,177
559,156
570,137
596,139
615,151
634,164
655,175
672,180
711,185
738,196
751,201
762,212
770,234
775,255
781,281
800,310
807,332
811,356
819,374
815,393
794,409
767,412
724,425
740,420
701,421
