x,y
131,742
139,737
150,733
167,726
169,724
179,719
191,711
197,706
210,693
222,685
231,678
239,675
236,693
232,695
221,700
208,711
195,720
180,726
173,734
157,745
150,747
149,747
146,755
163,764
174,750
191,734
205,726
218,710
228,702
234,703
228,716
222,721
214,738
197,758
181,772
170,782
167,790
167,792
174,793
183,782
190,772
203,761
212,744
229,727
235,711
239,688
245,673
248,659
249,642
252,631
253,623
255,611
258,602
265,597
273,594
287,596
298,592
304,589
311,579
307,593
312,597
317,604
322,613
327,624
324,627
312,631
296,641
293,644
298,640
305,641
289,666
284,673
279,680
273,686
256,700
252,703
239,710
259,699
276,688
284,675
293,658
301,644
312,634
324,624
327,611
317,607
308,590
315,576
317,566
312,563
307,558
308,547
312,539
304,530
301,524
300,520
290,513
283,506
276,501
267,493
267,486
263,482
259,475
255,462
249,452
246,432
246,441
249,424
249,410
245,394
245,379
248,363
249,344
252,331
252,322
252,308
245,298
245,284
245,267
246,249
246,239
239,253
238,265
235,279
228,291
226,297
219,310
211,311
207,320
207,325
204,334
198,338
195,352
194,353
193,365
194,373
195,376
207,387
211,391
222,398
225,407
231,415
238,424
238,424
236,411
229,403
226,382
241,370
241,355
241,332
215,358
203,370
200,365
222,339
235,317
239,297
236,259
236,238
242,225
249,212
258,197
272,184
280,176
290,163
301,149
308,142
328,135
346,125
358,119
372,126
377,119
397,119
406,115
415,117
431,121
444,124
453,126
465,132
472,135
480,136
503,146
507,150
523,163
535,170
544,176
551,187
559,195
568,205
575,212
580,218
586,225
587,241
589,248
592,252
596,260
594,266
593,274
603,283
603,284
603,294
603,303
609,305
613,308
616,311
617,317
617,322
621,325
631,332
634,338
631,348
630,352
627,359
625,360
624,366
624,373
620,377
617,379
606,384
602,390
594,401
583,403
583,403
573,413
561,420
559,421
555,435
555,445
558,458
558,465
555,476
566,475
573,479
579,487
585,490
585,494
587,496
582,508
582,508
589,510
602,514
599,527
600,535
600,541
593,549
594,559
603,561
604,570
604,572
597,573
587,570
582,578
589,583
594,590
600,597
618,618
610,604
613,609
633,623
635,624
644,631
647,635
649,641
649,645
656,654
659,655
666,661
676,669
682,673
695,682
702,686
714,690
716,697
706,710
703,713
696,717
693,727
690,728
679,750
693,738
686,744
678,752
671,758
665,761
654,772
654,772
644,781
641,783
631,789
621,795
614,802
610,809
602,814
593,821
587,826
578,834
573,836
565,838
548,845
548,845
535,852
531,851
516,857
510,861
499,864
492,864
475,865
465,865
462,868
446,874
441,878
428,879
411,874
407,874
390,876
375,872
365,872
353,872
335,865
328,858
317,855
305,865
308,852
320,843
321,831
334,814
338,799
341,786
348,775
352,768
358,757
366,747
366,731
380,720
390,703
390,696
390,686
394,673
396,668
403,658
404,651
414,647
421,642
430,637
425,645
421,655
418,665
408,683
407,695
406,699
400,719
397,730
394,738
393,745
393,757
389,765
383,771
377,779
366,797
366,802
358,820
353,833
353,836
349,847
348,851
341,862
358,862
358,862
360,848
363,838
367,821
376,802
383,789
390,778
397,761
401,748
410,737
417,714
420,699
428,688
434,668
441,652
446,637
446,617
455,589
455,579
459,561
456,554
472,549
493,538
494,527
510,499
511,487
523,468
531,446
537,435
542,417
568,400
548,407
535,410
528,417
513,430
504,441
496,453
487,465
480,473
476,483
472,490
458,503
448,507
438,516
424,525
411,531
394,535
386,535
369,532
358,528
348,527
329,527
336,524
358,520
377,518
393,510
418,499
427,496
437,482
449,463
452,451
456,441
451,421
452,403
452,390
452,382
456,373
459,384
462,398
458,420
456,432
452,451
446,476
430,506
458,493
466,466
484,444
507,415
506,406
511,387
525,363
528,375
532,382
554,389
565,380
579,380
589,375
606,369
609,367
616,349
301,303
301,303
308,291
301,286
294,283
286,283
280,281
276,283
273,289
272,291
266,294
252,307
277,287
274,287
266,280
258,284
248,286
262,318
266,314
276,305
283,308
287,310
291,310
297,312
301,317
308,321
296,325
289,327
279,331
272,331
267,325
277,321
280,320
287,320
289,312
274,317
363,327
372,320
380,312
390,308
400,308
404,314
408,321
418,325
401,322
396,322
380,324
380,320
391,311
424,310
414,303
401,291
391,284
383,280
362,286
355,291
351,300
351,310
346,321
346,329
349,338
349,341
325,324
342,301
341,304
329,329
344,298
355,281
376,281
387,276
407,277
418,287
428,294
353,376
355,379
359,389
360,397
360,401
353,404
345,403
336,396
329,393
329,391
324,401
317,410
308,407
297,403
291,397
291,386
297,375
300,362
304,344
305,334
307,418
303,410
310,415
320,417
336,411
342,411
329,414
375,442
375,441
379,451
382,451
363,442
356,441
341,441
332,438
322,441
320,441
311,435
307,434
290,439
290,439
297,444
312,448
320,448
329,445
338,445
348,445
356,493
344,493
329,487
317,483
298,490
301,482
317,472
332,473
352,476
427,477
434,459
432,455
432,438
422,418
415,397
414,393
425,415
438,428
444,444
441,458
415,516
476,531
468,532
448,542
438,547
406,563
398,556
391,559
377,563
352,570
352,569
382,575
382,575
400,569
425,568
444,548
418,565
413,570
400,582
414,559
417,548
428,545
496,301
506,311
521,312
534,307
539,293
541,277
501,277
537,281
538,272
532,258
525,241
514,281
530,277
532,269
492,248
532,232
530,201
523,197
537,214
539,222
518,246
500,253
470,370
473,367
477,351
479,344
473,332
470,321
465,312
465,300
466,291
466,289
463,270
462,266
452,243
446,236
446,215
446,210
445,195
438,187
421,179
398,180
387,180
375,177
366,183
358,186
346,184
338,184
331,184
322,179
305,179
293,188
281,200
272,205
256,217
252,234
490,363
499,376
521,387
510,367
507,356
497,345
492,332
487,315
483,304
521,342
530,344
538,353
544,358
562,370
578,356
569,352
556,341
565,339
568,329
555,317
544,317
593,356
610,336
596,331
582,328
579,325
572,322
585,317
589,308
589,293
547,286
555,287
555,287
587,297
563,286
572,283
580,272
578,258
555,222
559,231
565,239
563,249
556,255
552,256
470,231
480,238
486,238
503,235
510,225
513,214
496,201
476,203
473,201
477,181
482,180
494,183
500,174
493,164
382,648
366,665
362,671
356,680
349,682
341,696
338,720
339,728
338,747
335,757
332,764
331,769
327,776
324,779
320,786
312,796
312,797
300,821
286,816
284,806
279,793
273,786
279,821
280,836
283,841
289,848
291,860
263,824
263,814
263,805
