x,y
346,459
348,462
351,462
352,457
540,454
546,462
551,457
551,454
512,466
520,460
530,454
539,453
554,449
566,450
572,453
580,462
573,466
563,474
554,480
540,477
526,477
517,472
382,466
376,474
363,460
363,469
357,474
351,478
343,475
336,474
334,465
333,457
366,477
352,483
340,483
330,478
318,472
311,465
324,462
333,454
348,454
374,463
422,497
422,489
422,474
422,468
413,456
409,450
401,441
394,438
388,438
371,434
369,434
358,434
352,437
342,438
333,438
328,438
317,441
296,441
288,444
281,449
315,454
306,453
291,453
277,453
308,468
302,468
283,462
278,460
287,475
299,477
305,483
303,489
314,494
411,438
406,429
398,425
379,419
361,413
349,413
328,419
320,419
314,419
294,434
288,438
281,441
260,446
260,444
281,438
299,425
419,438
419,456
420,454
413,426
413,419
422,435
432,447
444,420
443,435
425,425
500,429
486,438
523,426
537,422
557,423
567,423
579,429
591,440
594,446
613,450
631,447
637,444
612,431
594,422
563,407
523,426
545,409
518,416
509,417
496,425
481,432
489,466
502,456
518,447
532,441
546,434
500,471
502,481
512,489
518,493
443,646
434,643
423,638
414,629
478,634
494,626
494,626
490,634
457,647
452,637
452,637
446,631
410,631
404,626
400,617
397,616
397,603
397,594
398,577
404,569
411,558
425,597
432,603
413,580
414,589
419,591
423,552
423,555
423,582
420,561
420,575
419,569
426,523
426,523
413,542
425,515
407,527
213,480
205,469
205,457
198,452
188,432
179,425
173,419
157,395
163,409
163,417
163,425
177,441
182,444
182,452
167,440
173,456
176,460
179,468
182,480
182,486
182,496
185,509
188,518
189,524
192,529
203,543
204,548
204,557
208,566
214,572
216,580
228,592
229,592
234,583
226,555
217,536
214,521
208,506
201,509
163,385
177,380
177,367
185,336
183,328
183,308
189,286
195,271
205,251
208,226
211,216
222,207
228,197
238,189
251,176
262,165
266,152
283,143
303,128
320,115
336,105
349,96
361,93
374,90
391,90
401,90
416,88
446,87
454,84
469,78
487,78
505,84
523,87
542,88
561,99
572,105
583,114
589,117
601,125
609,134
615,142
629,148
649,161
660,171
678,192
684,201
693,225
709,248
712,278
714,281
717,315
730,339
726,367
724,389
715,404
712,423
709,429
695,438
683,435
681,425
683,401
681,377
677,355
665,333
653,314
666,284
663,271
660,250
655,228
638,205
626,195
615,177
585,155
555,142
529,143
497,125
465,121
422,120
477,123
503,134
511,137
493,157
471,161
452,174
466,154
487,139
413,149
389,177
422,151
403,128
361,133
326,152
324,149
380,127
423,115
465,112
460,109
416,99
382,108
336,128
317,145
294,173
