x,y
341,472
324,467
295,457
275,450
248,447
236,447
221,447
206,447
194,440
172,445
142,447
115,462
86,486
95,479
81,509
81,526
86,538
93,548
105,563
113,575
130,585
150,582
162,590
177,597
196,597
228,604
250,604
268,600
290,602
309,602
327,595
344,595
366,597
386,595
413,582
440,582
462,575
484,560
516,558
533,548
555,531
570,504
582,477
604,464
627,442
651,422
671,408
700,393
725,386
757,376
777,371
804,361
826,356
845,344
877,349
904,349
944,339
981,317
1005,295
1020,268
1027,240
1035,209
1042,184
1050,157
1062,137
1084,108
1118,81
1140,71
1150,44
1172,19
1197,12
1227,7
1244,22
1268,29
1305,29
1318,29
1347,31
1372,34
1396,34
1413,41
1428,49
1450,59
1458,66
1460,78
1475,100
1495,115
1497,142
1492,159
1495,179
1477,167
1477,177
1460,172
1453,164
1438,181
1438,181
1428,169
1409,186
1406,186
1396,177
1394,179
1372,186
1372,174
1357,174
1354,179
1354,184
1345,181
1342,181
1318,191
1335,201
1350,189
1350,201
1362,211
1362,206
1367,206
1369,206
1374,216
1381,206
1404,221
1411,213
1423,221
1428,221
1453,216
1455,231
1470,236
1455,248
1448,250
1436,255
1411,265
1396,263
1377,265
1364,272
1347,277
1315,285
1310,285
1268,272
1268,272
1251,280
1234,302
1214,300
1209,317
1187,336
1185,339
1175,368
1175,371
1170,408
1163,425
1155,447
1136,469
1153,481
1180,481
1204,496
1231,496
1249,518
1256,538
1256,555
1244,570
1231,580
1234,560
1212,570
1234,545
1224,545
1239,538
1231,526
1214,518
1197,516
1182,516
1160,511
1155,509
1143,509
1136,509
1150,543
1158,555
1175,572
1185,585
1200,600
1212,609
1214,617
1231,624
1241,649
1244,676
1236,695
1224,722
1207,730
1182,730
1209,718
1219,705
1202,710
1175,703
1160,695
1200,693
1217,683
1217,681
1190,683
1177,671
1192,671
1214,673
1214,659
1192,636
1172,631
1153,619
1126,595
1116,590
1104,572
1091,558
1086,577
1079,597
1062,614
1057,622
1035,641
1020,651
1010,659
993,666
981,681
971,690
961,715
961,735
961,747
959,762
959,781
959,794
961,813
963,826
968,838
978,858
988,870
1015,880
1020,887
1030,890
1047,902
1069,941
1072,941
1045,959
1040,959
1020,944
1015,944
1003,941
1000,961
1000,961
973,941
968,939
949,939
934,909
936,900
934,880
924,858
912,836
900,816
890,801
880,791
877,774
875,764
875,752
872,750
840,752
818,767
801,772
789,777
777,781
772,767
772,745
777,725
769,705
759,676
754,654
764,666
762,695
772,708
774,737
759,772
757,791
757,804
735,833
735,833
732,843
703,877
703,880
681,914
681,917
661,946
649,963
646,988
666,1003
668,1020
676,1045
676,1057
681,1059
688,1079
693,1086
720,1106
735,1123
747,1133
715,1131
720,1140
737,1177
713,1165
708,1168
688,1158
688,1182
673,1182
663,1175
646,1160
641,1155
624,1143
609,1172
609,1172
587,1160
580,1148
580,1118
575,1096
582,1072
585,1045
587,1037
587,1008
580,990
580,968
582,954
597,934
609,919
612,902
617,887
622,860
622,840
624,818
627,791
627,772
627,752
604,757
590,757
563,757
509,762
533,757
501,764
467,764
457,764
432,769
400,767
388,767
334,779
285,779
253,767
211,750
167,747
157,740
150,730
132,730
120,727
103,713
86,698
66,683
41,676
29,659
17,631
14,619
12,597
2,580
7,553
7,545
2,526
7,501
19,481
39,454
63,437
83,425
98,422
135,422
152,422
181,430
199,427
231,430
258,432
268,427
309,457
329,472
1212,71
1202,73
1192,83
1190,86
1209,86
1236,86
1254,76
1246,73
1236,71
1217,66
