x,y
389,401
377,402
377,402
365,406
364,406
579,370
584,370
602,367
607,364
619,364
595,365
636,367
626,364
582,370
572,369
560,374
550,374
424,397
414,396
406,392
399,392
387,391
381,394
369,399
360,402
347,404
335,409
329,416
320,419
307,423
300,428
322,411
330,404
345,392
355,381
360,377
365,372
379,376
394,376
407,377
424,386
426,407
416,412
401,421
392,423
382,423
359,431
342,433
372,433
543,392
567,406
584,397
597,396
614,394
629,389
651,370
639,360
622,350
606,345
587,347
575,349
562,349
555,359
550,362
547,365
535,372
525,376
520,370
486,275
490,292
495,303
501,313
505,322
493,334
501,335
517,349
520,339
533,322
528,330
528,330
547,315
540,332
564,323
572,310
574,302
574,302
590,295
585,303
606,292
606,292
602,302
622,290
627,295
627,295
642,300
656,307
659,310
669,317
674,347
705,345
694,345
689,347
689,359
698,362
689,376
711,387
703,386
694,382
481,453
478,444
471,441
468,428
434,468
436,476
434,483
434,486
444,476
451,468
355,600
355,587
365,577
369,567
377,553
379,553
392,548
401,540
406,533
426,525
434,518
439,528
443,530
453,537
461,535
468,528
480,525
480,522
471,522
464,515
459,493
466,501
468,508
495,525
523,527
523,530
515,535
515,530
540,515
530,520
527,513
528,503
537,508
555,513
564,498
565,496
562,486
550,470
540,461
508,505
496,512
584,496
587,498
595,501
606,510
611,513
624,518
624,518
634,520
656,540
656,547
664,555
656,545
649,533
642,528
659,532
646,569
634,567
629,567
617,569
607,569
595,569
582,572
570,572
564,572
553,572
545,572
535,580
527,582
517,582
510,582
500,582
491,582
466,592
464,595
448,600
431,606
428,604
402,604
402,604
391,600
376,606
397,602
414,602
476,624
485,622
493,619
510,611
533,599
528,616
542,606
557,600
557,600
528,619
513,627
537,621
543,622
448,303
446,313
441,334
439,337
434,349
434,355
443,355
448,347
434,365
434,369
444,379
436,365
426,359
417,350
411,345
397,339
397,339
411,347
404,347
397,342
381,337
387,342
397,350
397,354
379,345
350,344
360,340
369,350
342,359
323,355
315,359
342,344
325,347
318,354
293,376
290,381
308,365
308,365
508,706
518,721
518,721
517,708
527,721
540,725
550,715
532,718
559,708
570,703
654,705
632,723
631,728
609,745
595,753
580,752
567,750
552,750
537,753
522,757
500,760
475,760
466,762
449,765
434,758
444,765
463,773
473,782
480,792
480,800
486,809
491,820
493,827
496,846
493,846
486,841
476,839
466,830
441,819
433,815
409,807
404,802
392,787
391,778
394,780
396,778
396,778
376,752
370,747
349,711
325,684
317,663
315,632
313,616
313,594
313,580
310,569
302,557
297,547
292,523
280,498
280,490
278,481
283,448
292,441
266,470
275,451
265,434
282,421
268,409
266,402
275,391
273,381
276,362
276,347
280,327
258,350
248,362
236,402
240,429
240,449
240,463
245,478
245,495
245,503
245,528
241,535
238,540
246,543
248,550
255,562
261,570
261,572
270,580
270,589
270,600
271,611
275,616
276,622
280,629
285,637
290,642
292,646
303,663
313,674
313,674
298,661
283,647
276,639
282,654
295,681
295,681
298,696
300,711
300,725
305,735
318,745
330,758
340,773
350,787
374,819
387,834
382,825
359,804
339,792
315,758
312,750
282,721
275,689
273,668
270,656
265,651
253,642
258,694
255,679
243,669
236,664
221,644
216,629
211,602
204,584
196,569
189,559
182,532
174,518
177,555
186,574
184,562
161,508
146,485
146,454
164,411
164,411
156,439
167,421
182,446
193,456
198,478
194,498
181,485
181,490
177,506
161,485
167,498
186,518
203,503
194,533
203,537
211,542
219,553
221,572
223,582
228,599
231,611
233,614
159,439
159,424
159,397
156,355
154,330
156,365
159,364
176,325
189,287
159,350
152,414
152,359
161,312
159,392
167,370
171,342
196,288
209,271
246,268
256,275
295,260
298,258
308,260
261,256
283,255
261,256
240,266
224,276
357,266
347,270
327,275
317,268
288,276
282,285
308,270
271,282
263,287
290,295
263,308
246,322
256,307
280,300
280,300
248,334
243,339
335,263
329,256
323,243
313,224
307,214
298,204
287,196
283,194
307,236
302,233
297,228
290,224
317,265
307,256
290,246
283,241
224,245
203,256
198,260
194,261
189,263
203,253
226,236
226,235
193,251
176,256
188,238
198,221
219,199
229,193
255,201
214,196
198,208
228,194
196,177
199,177
176,182
162,186
152,204
152,226
151,241
149,261
151,287
151,298
151,310
285,169
261,162
226,172
193,171
172,156
169,156
198,156
209,157
203,146
203,129
199,112
214,112
248,134
250,130
228,125
223,124
382,166
369,166
344,162
340,159
325,154
310,152
295,151
251,167
260,154
270,147
285,154
282,169
270,169
243,174
229,115
248,94
261,80
278,58
288,55
293,55
323,53
334,48
350,47
360,41
382,28
389,23
401,18
409,18
429,21
444,18
461,16
483,16
498,15
503,15
520,15
530,15
548,20
562,25
565,25
589,33
589,33
597,36
604,40
626,62
637,67
632,58
621,50
594,28
604,23
617,18
622,23
639,21
646,26
659,31
674,52
666,41
718,38
701,45
686,33
671,23
659,23
723,78
725,80
745,95
750,97
736,100
772,117
800,141
834,167
835,166
800,171
815,172
814,166
807,157
788,152
778,142
829,194
829,194
839,219
824,216
810,196
788,198
773,193
740,179
733,172
708,146
701,139
748,184
740,176
